code,description
OPKG,Origin Parking
OPLT,Origin Pallet Charges
OPNLT,Origin Customs Penalty
OPOM,Origin POM
OPPK,Origin Pick & Pack
OPRDM,Origin Per Diem
OPREP,Origin Prepull
OQUAR,Origin Quarantine Inspection
ORELD,Origin Restuffing
OREPO,Origin Chassis Repositioning
OSEC,Origin Security Surcharge
OSECU,Origin Security
OSEG,Origin Segregation / Labeling Fee
OSOC,Origin Stop Off Charge
OSTOR,Origin Storage / Warehousing
OSTR,Origin Yard Storage Fee
OTALY,Origin Tally Fee
OTCA,Origin OT Carrier
OTHC,Origin Terminal Handling
OTOFE,Origin Toll Fee
OTRXL,Origin Tri-axle
OTTRP,Origin Transit Transportation
OVD IN,OVERDUE INTEREST
OWAIT,Origin Waiting Fee
OWHARF,Origin Wharfage Charge
PAAP,Pre-arrival at Port
PARCEL,PARCEL
PCF,Panama Canal Fee
PCFE,Port Construction Fee
PCFE-VAT,Port Construction Fee (VAT)
PMS,Periodic Monthly Statement Surcharge
PRIT,Printing Charge
PRM-DCBU,Promotion Service Fee-ICBU
PS,Profit Share / Rebate
PS-WH,Profit Share-Warehouse
PUCART,Pick Up Cartage
ROD,REDUCTION OF DISTRIBUTIONS
SBO,Single Bond
SCREENING,SCREENING FEE
SCS,Suez Canal Surcharge
SEAL,Seal
SFS,SANITARY FEE SURCHARGE
SHTL,Shuttle
SKWCH,Shockwatch
SLF,Steel License Fee
SPLT,B/L Split Charge
SPR,SUPPLY PRICE CHARGES
SPS,Shanghai Port Surcharge
SWB,Sea waybill
T86EXPRS,T86 Express Fee
TEC-ICBU,Techenical Service fee-ICBU
TLIFT,Taillift fee
TLX,TELEX Release (BL Surrender)
TRSL,Trans Loading
TSC,Terminal Shifting Charge
ULD,ULD building
UNSTK,Unstackable Fee
VGM,VGM Fee
VGM-VAT,VGM Fee (VAT)
WAABR,Warehouse all in fee for airline
WACC,Warehouse Accessorials
WACC-VAT,Warehouse Accessorials (VAT)
WASF,Warehouse Supplies Fee
WH D/C,WAREHOUSE SALES DISCOUNT
WHCOMCR,Warehouse other Fee
WHDEL,Destination Delivery Fee
